Package,Package Version,Arn,Status,Expiry Date
aws-lambda-powertools,0.9.3,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultaws-lambda-powertools:6,deprecated,
aws-lambda-powertools,0.9.3,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultaws-lambda-powertools:7,latest,
aws-xray-sdk,2.5.0,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultaws-xray-sdk:5,deprecated,
aws-xray-sdk,2.5.0,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultaws-xray-sdk:6,latest,
bcrypt,3.1.7,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultbcrypt:2,deprecated,
bcrypt,3.1.7,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultbcrypt:3,latest,
idna,2.9,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultidna:4,deprecated,
idna,2.9,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultidna:5,latest,
lambda-cache,0.8.1,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultlambda-cache:3,deprecated,
lambda-cache,0.8.1,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultlambda-cache:4,latest,
pyqldb,2.0.2,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultpyqldb:5,deprecated,
pyqldb,2.0.2,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultpyqldb:6,latest,
PyYAML,5.3.1,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultPyYAML:5,deprecated,
PyYAML,5.3.1,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultPyYAML:6,latest,
records,0.5.3,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultrecords:3,deprecated,
records,0.5.3,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultrecords:4,latest,
spacy,2.2.4,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultspacy:3,deprecated,
spacy,2.2.4,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultspacy:4,latest,
spacy_model_en_small,2.25,arn:aws:lambda:me-south-1:908645878701:layer:pylayers-python38-defaultspacy_model_en_small:6,latest,
